Time,Temperature,Dew Point,Humidity,Wind,Wind Speed,Pressure,Condition
2017-01-02 04:00:00,39,37,93%,E,3 mph,25.67 in,Fog
2017-01-03 05:00:00,37,37,100%,ESE,3 mph,25.69 in,Fog
2017-01-02 07:00:00,37,37,100%,E,5 mph,25.69 in,Fog
2017-01-02 08:00:00,37,37,100%,SSE,3 mph,25.72 in,Fog
2017-01-02 09:00:00,39,37,93%,E,3 mph,25.72 in,Fog
2017-01-02 10:00:00,45,41,87%,SE,3 mph,25.74 in,Fog
2017-01-02 11:00:00,52,45,76%,VAR,2 mph,25.74 in,Fog
2017-01-02 12:00:00,57,43,59%,VAR,2 mph,25.72 in,Haze
2017-01-02 13:00:00,61,43,52%,S,8 mph,25.67 in,Fair
2017-01-02 14:00:00,64,34,32%,S,8 mph,25.64 in,Partly Cloudy
2017-01-02 15:00:00,59,32,36%,S,12 mph,25.64 in,Mostly Cloudy
2017-01-02 16:00:00,57,34,41%,WSW,7 mph,25.67 in,Mostly Cloudy
2017-01-02 17:00:00,55,37,51%,SE,6 mph,25.69 in,Mostly Cloudy
2017-01-02 18:00:00,52,41,67%,S,5 mph,25.72 in,Light Rain
2017-01-02 19:00:00,50,39,66%,E,7 mph,25.74 in,Mostly Cloudy
2017-01-02 20:00:00,50,39,66%,SE,10 mph,25.77 in,Mostly Cloudy
2017-01-02 21:00:00,46,41,81%,ESE,3 mph,25.79 in,Light Rain
2017-01-02 22:00:00,48,43,82%,ESE,8 mph,25.79 in,Light Rain
2017-01-02 23:00:00,46,45,93%,ENE,7 mph,25.77 in,Drizzle
2017-01-04 00:00:00,45,43,93%,CALM,0 mph,25.74 in,Mostly Cloudy
2017-01-03 01:00:00,45,43,93%,SSE,3 mph,25.72 in,Fair
2017-01-03 02:00:00,43,41,93%,E,3 mph,25.69 in,Fair
2017-01-03 03:00:00,41,41,100%,VAR,2 mph,25.69 in,Fair
2017-01-03 04:00:00,39,41,0%,VAR,2 mph,25.67 in,Fair
2017-01-04 05:00:00,39,39,100%,VAR,2 mph,25.69 in,Fair
2017-01-03 07:00:00,39,39,100%,VAR,2 mph,25.69 in,Fair
2017-01-03 08:00:00,39,37,93%,ENE,3 mph,25.72 in,Fog
2017-01-03 09:00:00,41,39,93%,E,3 mph,25.72 in,Fog
2017-01-03 10:00:00,46,41,81%,VAR,1 mph,25.74 in,Fog
2017-01-03 11:00:00,50,43,76%,VAR,2 mph,25.74 in,Fair
2017-01-03 12:00:00,55,43,63%,ESE,3 mph,25.72 in,Fair
2017-01-03 13:00:00,63,37,39%,S,5 mph,25.67 in,Fair
2017-01-03 14:00:00,64,37,37%,WSW,7 mph,25.62 in,Fair
2017-01-03 15:00:00,63,36,37%,W,7 mph,25.62 in,Fair
2017-01-03 17:00:00,59,36,42%,WNW,8 mph,25.59 in,Fair
2017-01-03 18:00:00,55,37,51%,VAR,2 mph,25.62 in,Fair
2017-01-03 19:00:00,54,41,62%,SSW,5 mph,25.64 in,Fair
2017-01-03 20:00:00,50,41,71%,ESE,5 mph,25.64 in,Fair
2017-01-03 21:00:00,48,39,71%,CALM,0 mph,25.67 in,Fair
2017-01-03 22:00:00,46,39,76%,SE,3 mph,25.67 in,Fair
2017-01-03 23:00:00,45,41,87%,CALM,0 mph,25.67 in,Fair
2017-01-05 00:00:00,45,39,81%,ENE,3 mph,25.67 in,Fair
2017-01-04 01:00:00,41,39,93%,CALM,0 mph,25.64 in,Fair
2017-01-04 03:00:00,39,37,93%,CALM,0 mph,25.64 in,Fair
2017-01-04 04:00:00,39,37,93%,CALM,0 mph,25.64 in,Fair
2017-01-05 05:00:00,37,36,93%,CALM,0 mph,25.64 in,Fair
2017-01-04 07:00:00,39,37,93%,E,3 mph,25.64 in,Fair
2017-01-04 08:00:00,37,36,93%,E,3 mph,25.67 in,Fog
2017-01-04 09:00:00,39,37,93%,VAR,2 mph,25.69 in,Fog
2017-01-04 10:00:00,46,41,81%,VAR,2 mph,25.69 in,Fog
2017-01-04 11:00:00,52,41,67%,VAR,2 mph,25.69 in,Haze
2017-01-04 12:00:00,57,41,55%,VAR,2 mph,25.67 in,Haze
2017-01-04 14:00:00,64,32,30%,WSW,5 mph,25.59 in,Fair
2017-01-04 15:00:00,64,36,34%,WNW,6 mph,25.56 in,Fair
2017-01-04 16:00:00,63,37,39%,W,8 mph,25.56 in,Fair
2017-01-04 17:00:00,57,36,44%,WNW,7 mph,25.59 in,Fair
2017-01-04 18:00:00,57,36,44%,WSW,5 mph,25.59 in,Fair
2017-01-04 19:00:00,54,39,58%,VAR,2 mph,25.62 in,Fair
2017-01-04 20:00:00,50,41,71%,VAR,2 mph,25.62 in,Fair
2017-01-04 21:00:00,46,39,76%,ESE,5 mph,25.64 in,Fair
2017-01-04 22:00:00,46,39,76%,ENE,5 mph,25.64 in,Fair
2017-01-04 23:00:00,45,39,81%,E,3 mph,25.64 in,Fair
2017-01-06 00:00:00,43,39,87%,CALM,0 mph,25.62 in,Fair
2017-01-05 01:00:00,41,37,87%,VAR,2 mph,25.59 in,Fair
2017-01-05 03:00:00,41,37,87%,E,3 mph,25.56 in,Fair
2017-01-05 04:00:00,39,37,93%,E,6 mph,25.56 in,Fair
2017-01-06 05:00:00,39,36,87%,E,3 mph,25.56 in,Fair
2017-01-05 07:00:00,39,37,93%,VAR,2 mph,25.59 in,Fair
2017-01-05 08:00:00,39,36,87%,VAR,2 mph,25.59 in,Fog
2017-01-05 09:00:00,41,37,87%,CALM,0 mph,25.62 in,Fog
2017-01-05 10:00:00,48,41,76%,CALM,0 mph,25.64 in,Fog
2017-01-05 11:00:00,54,41,62%,VAR,2 mph,25.64 in,Haze
2017-01-05 12:00:00,61,41,48%,ESE,3 mph,25.59 in,Fair
2017-01-05 13:00:00,64,32,30%,WSW,3 mph,25.56 in,Fair
2017-01-05 14:00:00,64,30,28%,S,7 mph,25.54 in,Fair
2017-01-05 15:00:00,59,36,42%,W,6 mph,25.51 in,Partly Cloudy
2017-01-05 16:00:00,59,34,39%,W,8 mph,25.51 in,Mostly Cloudy
2017-01-05 17:00:00,59,36,42%,NNW,3 mph,25.51 in,Partly Cloudy
2017-01-05 18:00:00,55,36,47%,WSW,3 mph,25.54 in,Partly Cloudy
2017-01-05 19:00:00,54,43,67%,S,7 mph,25.56 in,Fair
2017-01-05 20:00:00,52,39,62%,SE,3 mph,25.56 in,Fair
2017-01-05 21:00:00,48,39,71%,VAR,2 mph,25.59 in,Fair
2017-01-05 22:00:00,46,39,76%,ESE,3 mph,25.59 in,Fair
2017-01-05 23:00:00,45,39,81%,E,3 mph,25.59 in,Fair
2017-01-07 00:00:00,43,39,87%,CALM,0 mph,25.56 in,Fair
2017-01-06 01:00:00,43,39,87%,VAR,2 mph,25.56 in,Fair
2017-01-07 05:00:00,39,36,87%,E,3 mph,25.56 in,Fair
2017-01-06 07:00:00,39,36,87%,VAR,2 mph,25.56 in,Fair
2017-01-06 08:00:00,37,36,93%,E,3 mph,25.59 in,Fog
2017-01-06 09:00:00,41,37,87%,CALM,0 mph,25.62 in,Fog
2017-01-06 10:00:00,46,39,76%,VAR,2 mph,25.64 in,Fog
2017-01-06 11:00:00,54,41,62%,CALM,0 mph,25.64 in,Haze
2017-01-06 12:00:00,57,41,55%,SE,5 mph,25.64 in,Haze
2017-01-06 13:00:00,63,37,39%,SSW,3 mph,25.56 in,Fair
2017-01-06 14:00:00,63,39,42%,SSW,8 mph,25.56 in,Fair
2017-01-06 15:00:00,61,39,45%,SW,13 mph,25.54 in,Fair
2017-01-06 16:00:00,61,36,39%,SW,9 mph,25.54 in,Fair
2017-01-06 17:00:00,57,39,51%,SW,7 mph,25.54 in,Fair
2017-01-06 18:00:00,54,39,58%,SSW,6 mph,25.54 in,Fair
2017-01-06 19:00:00,52,41,67%,SSE,6 mph,25.56 in,Fair
2017-01-06 20:00:00,50,41,71%,VAR,2 mph,25.59 in,Fair
2017-01-06 21:00:00,48,41,76%,SSE,5 mph,25.59 in,Fair
2017-01-06 22:00:00,46,39,76%,VAR,2 mph,25.62 in,Fair
2017-01-06 23:00:00,45,41,87%,E,3 mph,25.62 in,Fair
2017-01-08 00:00:00,43,39,87%,E,5 mph,25.59 in,Fair
2017-01-07 01:00:00,43,39,87%,CALM,0 mph,25.56 in,Fair
2017-01-07 02:00:00,41,39,93%,CALM,0 mph,25.56 in,Fair
2017-01-07 03:00:00,39,37,93%,CALM,0 mph,25.54 in,Fair
2017-01-07 04:00:00,39,37,93%,ESE,3 mph,25.54 in,Fair
2017-01-08 05:00:00,37,36,93%,ESE,3 mph,25.54 in,Fair
2017-01-07 07:00:00,39,37,93%,CALM,0 mph,25.54 in,Fair
2017-01-07 08:00:00,37,37,100%,CALM,0 mph,25.56 in,Fog
2017-01-07 09:00:00,41,39,93%,CALM,0 mph,25.59 in,Fog
2017-01-07 10:00:00,46,41,81%,CALM,0 mph,25.62 in,Fog
2017-01-07 11:00:00,52,41,67%,ESE,3 mph,25.62 in,Haze
2017-01-07 12:00:00,55,41,58%,VAR,2 mph,25.59 in,Haze
2017-01-07 13:00:00,63,34,34%,SSW,6 mph,25.54 in,Fair
2017-01-07 14:00:00,63,34,34%,WSW,5 mph,25.51 in,Fair
2017-01-07 15:00:00,63,37,39%,W,8 mph,25.49 in,Fair
2017-01-07 16:00:00,61,34,36%,W,8 mph,25.49 in,Fair
2017-01-07 17:00:00,57,39,51%,WSW,6 mph,25.49 in,Partly Cloudy
2017-01-07 18:00:00,55,37,51%,WSW,5 mph,25.51 in,Fair
2017-01-07 19:00:00,52,37,58%,SSW,7 mph,25.54 in,Fair
2017-01-07 20:00:00,52,39,62%,SE,3 mph,25.56 in,Fair
2017-01-07 21:00:00,48,39,71%,E,5 mph,25.56 in,Fair
2017-01-07 22:00:00,46,37,71%,E,5 mph,25.59 in,Fair
2017-01-07 23:00:00,45,37,76%,CALM,0 mph,25.59 in,Fair
2017-01-09 00:00:00,43,37,81%,E,5 mph,25.59 in,Fair
2017-01-08 01:00:00,41,37,87%,ESE,3 mph,25.56 in,Partly Cloudy
2017-01-08 02:00:00,39,36,87%,ESE,3 mph,25.56 in,Partly Cloudy
2017-01-08 03:00:00,39,36,87%,SE,3 mph,25.56 in,Partly Cloudy
2017-01-08 04:00:00,39,37,93%,NE,6 mph,25.56 in,Partly Cloudy
2017-01-09 05:00:00,37,36,93%,SSE,3 mph,25.56 in,Partly Cloudy
2017-01-08 07:00:00,39,37,93%,E,3 mph,25.56 in,Fog
2017-01-08 08:00:00,37,36,93%,N,3 mph,25.59 in,Fog
2017-01-08 09:00:00,39,37,93%,ESE,3 mph,25.62 in,Fog
2017-01-08 10:00:00,46,39,76%,SSE,2 mph,25.64 in,Fog
2017-01-08 11:00:00,52,39,62%,VAR,2 mph,25.64 in,Haze
2017-01-08 12:00:00,57,39,51%,VAR,2 mph,25.62 in,Haze
2017-01-08 13:00:00,63,34,34%,W,8 mph,25.56 in,Fair
2017-01-08 14:00:00,63,34,34%,WNW,8 mph,25.54 in,Partly Cloudy
2017-01-08 15:00:00,64,36,34%,NW,6 mph,25.51 in,Mostly Cloudy
2017-01-08 16:00:00,59,36,42%,W,9 mph,25.51 in,Mostly Cloudy
2017-01-08 17:00:00,57,36,44%,W,9 mph,25.51 in,Mostly Cloudy
2017-01-08 18:00:00,55,41,58%,W,8 mph,25.51 in,Fair
2017-01-08 19:00:00,54,43,67%,W,5 mph,25.51 in,Fair
2017-01-08 20:00:00,50,41,71%,VAR,2 mph,25.54 in,Fair
2017-01-08 21:00:00,48,39,71%,ESE,5 mph,25.56 in,Fair
2017-01-08 22:00:00,46,39,76%,VAR,2 mph,25.56 in,Fair
2017-01-08 23:00:00,45,39,81%,E,3 mph,25.56 in,Fair
2017-01-10 00:00:00,43,39,87%,E,3 mph,25.56 in,Fair
2017-01-09 01:00:00,43,39,87%,VAR,2 mph,25.56 in,Fair
2017-01-09 02:00:00,41,37,87%,E,3 mph,25.54 in,Fair
2017-01-09 03:00:00,39,37,93%,CALM,0 mph,25.54 in,Fair
2017-01-09 04:00:00,39,37,93%,CALM,0 mph,25.54 in,Fair
2017-01-10 05:00:00,37,36,93%,CALM,0 mph,25.54 in,Fog
2017-01-09 07:00:00,39,37,93%,CALM,0 mph,25.54 in,Fog
2017-01-09 08:00:00,37,36,93%,E,6 mph,25.56 in,Fog
2017-01-09 09:00:00,41,37,87%,CALM,0 mph,25.59 in,Fog
2017-01-09 10:00:00,46,39,76%,CALM,0 mph,25.62 in,Fog
2017-01-09 11:00:00,52,41,67%,CALM,0 mph,25.62 in,Haze
2017-01-09 12:00:00,55,39,54%,SSE,3 mph,25.59 in,Haze
2017-01-09 13:00:00,63,30,30%,WNW,9 mph,25.54 in,Fair
2017-01-09 14:00:00,64,32,30%,WNW,9 mph,25.51 in,Fair
2017-01-09 15:00:00,59,34,39%,WNW,8 mph,25.51 in,Partly Cloudy
2017-01-09 16:00:00,59,34,39%,WNW,10 mph,25.51 in,Partly Cloudy
2017-01-09 17:00:00,57,37,48%,WNW,7 mph,25.49 in,Fair
2017-01-09 18:00:00,55,37,51%,WNW,5 mph,25.51 in,Fair
2017-01-09 19:00:00,52,39,62%,SSW,5 mph,25.54 in,Fair
2017-01-09 20:00:00,50,39,66%,SE,3 mph,25.54 in,Haze
2017-01-09 21:00:00,48,39,71%,E,5 mph,25.56 in,Mostly Cloudy
2017-01-09 22:00:00,45,39,81%,E,5 mph,25.56 in,Fog
2017-01-09 23:00:00,43,37,81%,ESE,3 mph,25.54 in,Fog
2017-01-11 00:00:00,43,37,81%,VAR,2 mph,25.54 in,Fog
2017-01-10 01:00:00,41,37,87%,ESE,5 mph,25.51 in,Fog
2017-01-10 02:00:00,41,37,87%,ESE,5 mph,25.51 in,Fog
2017-01-10 03:00:00,39,37,93%,E,5 mph,25.51 in,Fog
2017-01-11 05:00:00,39,37,93%,SE,3 mph,25.51 in,Fog
2017-01-10 07:00:00,39,37,93%,CALM,0 mph,25.51 in,Fog
2017-01-10 08:00:00,41,37,87%,CALM,0 mph,25.54 in,Fog
2017-01-10 09:00:00,41,37,87%,S,3 mph,25.56 in,Fog
2017-01-10 10:00:00,48,39,71%,VAR,2 mph,25.59 in,Fog
2017-01-10 11:00:00,52,39,62%,VAR,2 mph,25.59 in,Haze
2017-01-10 12:00:00,57,37,48%,SSE,3 mph,25.56 in,Haze
2017-01-10 13:00:00,61,32,34%,N,6 mph,25.51 in,Fair
2017-01-10 14:00:00,63,34,34%,WNW,7 mph,25.49 in,Fair
2017-01-10 15:00:00,63,34,34%,W,8 mph,25.49 in,Fair
2017-01-10 16:00:00,57,37,48%,W,8 mph,25.49 in,Fair
2017-01-10 17:00:00,55,41,58%,SW,7 mph,25.51 in,Partly Cloudy
2017-01-10 18:00:00,52,43,71%,SSW,7 mph,25.51 in,Partly Cloudy
2017-01-10 19:00:00,50,43,76%,SSW,3 mph,25.54 in,Fair
2017-01-10 20:00:00,50,41,71%,SW,5 mph,25.56 in,Fair
2017-01-10 21:00:00,48,41,76%,VAR,2 mph,25.56 in,Fair
2017-01-10 22:00:00,46,41,81%,ESE,3 mph,25.56 in,Partly Cloudy
2017-01-10 23:00:00,43,39,87%,E,3 mph,25.56 in,Partly Cloudy
2017-01-12 00:00:00,43,39,87%,CALM,0 mph,25.56 in,Fair
2017-01-11 01:00:00,41,37,87%,CALM,0 mph,25.54 in,Fair
2017-01-11 02:00:00,0,0,0%,E,3 mph,25.54 in,Fair
2017-01-11 03:00:00,39,37,93%,CALM,0 mph,25.54 in,Fair
2017-01-12 05:00:00,37,36,93%,CALM,0 mph,25.51 in,Fair
2017-01-11 07:00:00,37,36,93%,E,3 mph,25.51 in,Fog
2017-01-11 08:00:00,37,36,93%,VAR,2 mph,25.54 in,Fog
2017-01-11 09:00:00,39,37,93%,VAR,2 mph,25.56 in,Fog
2017-01-11 10:00:00,45,39,81%,VAR,2 mph,25.59 in,Fog
2017-01-11 11:00:00,50,41,71%,VAR,2 mph,25.59 in,Haze
2017-01-11 12:00:00,54,39,58%,ESE,5 mph,25.59 in,Haze
2017-01-11 13:00:00,57,32,38%,SSW,6 mph,25.54 in,Fair
2017-01-11 14:00:00,59,34,39%,SW,6 mph,25.51 in,Fair
2017-01-11 15:00:00,57,36,44%,SW,9 mph,25.51 in,Fair
2017-01-11 16:00:00,55,37,51%,SSW,10 mph,25.49 in,Fair
2017-01-11 17:00:00,52,39,62%,SW,9 mph,25.51 in,Fair
2017-01-11 18:00:00,50,39,66%,SW,8 mph,25.51 in,Fair
2017-01-11 19:00:00,50,39,66%,WSW,6 mph,25.56 in,Fair
2017-01-11 20:00:00,48,39,71%,VAR,2 mph,25.54 in,Fair
2017-01-11 21:00:00,45,39,81%,E,3 mph,25.54 in,Fair
2017-01-11 22:00:00,45,39,81%,S,3 mph,25.54 in,Fog
2017-01-11 23:00:00,45,39,81%,E,5 mph,25.56 in,Fog
2017-01-13 00:00:00,45,39,81%,VAR,2 mph,25.56 in,Fog
2017-01-12 01:00:00,43,39,87%,CALM,0 mph,25.56 in,Fog
2017-01-12 02:00:00,43,37,81%,S,2 mph,25.54 in,Fog
2017-01-12 03:00:00,39,37,93%,E,3 mph,25.54 in,Fog
2017-01-12 04:00:00,39,37,93%,SE,3 mph,25.51 in,Fog
2017-01-13 05:00:00,39,36,87%,S,3 mph,25.51 in,Fog
2017-01-12 07:00:00,37,36,93%,VAR,2 mph,25.54 in,Fog
2017-01-12 08:00:00,37,36,93%,E,3 mph,25.54 in,Fog
2017-01-12 09:00:00,39,37,93%,ESE,3 mph,25.56 in,Fog
2017-01-12 10:00:00,43,37,81%,SSE,2 mph,25.59 in,Fog
2017-01-12 11:00:00,50,39,66%,CALM,0 mph,25.62 in,Fog
2017-01-12 12:00:00,54,39,58%,E,3 mph,25.59 in,Haze
2017-01-12 13:00:00,57,34,41%,WNW,3 mph,25.54 in,Fair
2017-01-12 14:00:00,59,34,39%,SSW,6 mph,25.51 in,Fair
2017-01-12 15:00:00,57,36,44%,SW,12 mph,25.49 in,Fair
2017-01-12 16:00:00,55,37,51%,SW,12 mph,25.49 in,Fair
2017-01-12 17:00:00,52,37,58%,SW,9 mph,25.49 in,Fair
2017-01-12 18:00:00,50,39,66%,SW,7 mph,25.51 in,Fair
2017-01-12 19:00:00,48,39,71%,S,6 mph,25.51 in,Fair
2017-01-12 20:00:00,46,39,76%,S,6 mph,25.54 in,Fog
2017-01-12 21:00:00,45,37,76%,VAR,2 mph,25.56 in,Fog
2017-01-12 22:00:00,43,39,87%,ESE,5 mph,25.56 in,Fog
2017-01-12 23:00:00,41,37,87%,ESE,5 mph,25.56 in,Fog
2017-01-14 00:00:00,39,37,93%,VAR,2 mph,25.56 in,Fog
2017-01-13 01:00:00,39,36,87%,ESE,3 mph,25.54 in,Fog
2017-01-13 02:00:00,37,34,87%,ESE,3 mph,25.54 in,Fog
2017-01-13 03:00:00,37,36,93%,E,3 mph,25.54 in,Fog
2017-01-13 04:00:00,36,34,93%,VAR,2 mph,25.54 in,Fog
2017-01-14 05:00:00,36,34,93%,VAR,2 mph,25.54 in,Fog
2017-01-13 07:00:00,36,34,93%,E,3 mph,25.54 in,Fog
2017-01-13 08:00:00,36,34,93%,VAR,2 mph,25.56 in,Fog
2017-01-13 09:00:00,36,34,93%,VAR,2 mph,25.59 in,Fog
2017-01-13 10:00:00,43,37,81%,VAR,2 mph,25.62 in,Fog
2017-01-13 11:00:00,52,39,62%,CALM,0 mph,25.62 in,Haze
2017-01-13 12:00:00,54,37,54%,VAR,2 mph,25.62 in,Haze
2017-01-13 13:00:00,57,32,38%,SSW,3 mph,25.54 in,Fair
2017-01-13 14:00:00,59,34,39%,SW,8 mph,25.51 in,Fair
2017-01-13 15:00:00,57,36,44%,SW,14 mph,25.51 in,Fair
2017-01-13 16:00:00,55,36,47%,SW,12 mph,25.51 in,Fair
2017-01-13 17:00:00,52,34,50%,SW,10 mph,25.54 in,Fair
2017-01-13 18:00:00,50,36,58%,SW,9 mph,25.54 in,Fair
2017-01-13 19:00:00,48,36,62%,S,6 mph,25.56 in,Fair
2017-01-13 20:00:00,46,37,71%,ESE,3 mph,25.59 in,Fair
2017-01-13 21:00:00,45,37,76%,E,3 mph,25.59 in,Fair
2017-01-13 22:00:00,43,37,81%,E,3 mph,25.59 in,Fog
2017-01-13 23:00:00,41,36,81%,ESE,3 mph,25.59 in,Fog
2017-01-15 00:00:00,39,36,87%,CALM,0 mph,25.59 in,Fog
2017-01-14 01:00:00,37,36,93%,CALM,0 mph,25.59 in,Fog
2017-01-14 02:00:00,37,36,93%,CALM,0 mph,25.59 in,Fog
2017-01-14 03:00:00,37,34,87%,CALM,0 mph,25.59 in,Fog
2017-01-14 04:00:00,36,34,93%,CALM,0 mph,25.59 in,Fog
2017-01-15 05:00:00,36,34,93%,VAR,2 mph,25.59 in,Fog
2017-01-14 07:00:00,0,0,0%,E,3 mph,25.59 in,Fog
2017-01-14 08:00:00,34,32,93%,E,3 mph,25.59 in,Fog
2017-01-14 09:00:00,36,34,93%,ESE,3 mph,25.62 in,Fog
2017-01-14 10:00:00,43,37,81%,VAR,1 mph,25.64 in,Fog
2017-01-14 11:00:00,46,37,71%,WSW,3 mph,25.67 in,Haze
2017-01-14 12:00:00,52,37,58%,SE,3 mph,25.67 in,Haze
2017-01-14 13:00:00,59,30,34%,NW,3 mph,25.62 in,Fair
2017-01-14 14:00:00,61,27,27%,WNW,7 mph,25.62 in,Fair
2017-01-14 15:00:00,59,30,34%,W,8 mph,25.59 in,Fair
2017-01-14 16:00:00,59,32,36%,W,8 mph,25.59 in,Fair
2017-01-14 17:00:00,55,34,44%,W,9 mph,25.59 in,Fair
2017-01-14 18:00:00,52,36,54%,W,6 mph,25.62 in,Fair
2017-01-14 19:00:00,50,37,62%,WSW,5 mph,25.64 in,Fair
2017-01-14 20:00:00,46,37,71%,ESE,3 mph,25.67 in,Fog
2017-01-14 21:00:00,43,37,81%,E,3 mph,25.67 in,Fog
2017-01-14 22:00:00,43,36,76%,ESE,3 mph,25.69 in,Fog
2017-01-14 23:00:00,41,36,81%,ESE,3 mph,25.69 in,Fog
2017-01-16 00:00:00,41,36,81%,VAR,2 mph,25.67 in,Fog
2017-01-15 01:00:00,39,36,87%,VAR,2 mph,25.67 in,Fog
2017-01-15 02:00:00,37,34,87%,E,3 mph,25.64 in,Fog
2017-01-15 03:00:00,36,34,93%,CALM,0 mph,25.64 in,Fog
2017-01-15 04:00:00,36,32,87%,CALM,0 mph,25.64 in,Fog
2017-01-16 05:00:00,34,32,93%,CALM,0 mph,25.64 in,Fog
2017-01-15 07:00:00,34,32,93%,E,3 mph,25.64 in,Fog
2017-01-15 08:00:00,34,32,93%,VAR,2 mph,25.67 in,Fog
2017-01-15 09:00:00,36,34,93%,E,3 mph,25.69 in,Fog
2017-01-15 10:00:00,45,39,81%,VAR,2 mph,25.72 in,Fog
2017-01-15 11:00:00,50,37,62%,VAR,2 mph,25.74 in,Haze
2017-01-15 12:00:00,55,36,47%,VAR,2 mph,25.72 in,Haze
2017-01-15 13:00:00,63,32,32%,WNW,3 mph,25.64 in,Fair
2017-01-15 14:00:00,63,32,32%,W,6 mph,25.62 in,Fair
2017-01-15 15:00:00,63,32,32%,W,8 mph,25.59 in,Fair
2017-01-15 16:00:00,61,32,34%,W,8 mph,25.59 in,Fair
2017-01-15 17:00:00,57,34,41%,W,8 mph,25.59 in,Fair
2017-01-15 18:00:00,54,37,54%,W,9 mph,25.62 in,Fair
2017-01-15 19:00:00,52,37,58%,SW,3 mph,25.64 in,Fair
2017-01-15 20:00:00,48,37,66%,E,5 mph,25.64 in,Fair
2017-01-15 21:00:00,45,37,76%,E,5 mph,25.64 in,Fair
2017-01-15 22:00:00,43,37,81%,ESE,6 mph,25.64 in,Fair
2017-01-15 23:00:00,43,37,81%,ESE,3 mph,25.62 in,Fair
2017-01-17 00:00:00,41,37,87%,VAR,2 mph,25.62 in,Fair
2017-01-16 01:00:00,39,36,87%,ENE,3 mph,25.62 in,Fair
2017-01-16 02:00:00,37,34,87%,CALM,0 mph,25.59 in,Fair
2017-01-16 03:00:00,37,34,87%,CALM,0 mph,25.59 in,Fair
2017-01-16 04:00:00,37,34,87%,CALM,0 mph,25.59 in,Fair
2017-01-17 05:00:00,36,32,87%,CALM,0 mph,25.59 in,Fog
2017-01-16 07:00:00,36,34,93%,E,3 mph,25.59 in,Fog
2017-01-16 08:00:00,36,34,93%,VAR,2 mph,25.62 in,Fog
2017-01-16 09:00:00,37,34,87%,VAR,2 mph,25.64 in,Fog
2017-01-16 10:00:00,45,37,76%,VAR,2 mph,25.67 in,Fog
2017-01-16 11:00:00,52,39,62%,VAR,1 mph,25.67 in,Haze
2017-01-16 12:00:00,55,39,54%,S,2 mph,25.64 in,Haze
2017-01-16 13:00:00,66,28,24%,WNW,6 mph,25.56 in,Fair
2017-01-16 14:00:00,66,28,24%,W,7 mph,25.54 in,Fair
2017-01-16 15:00:00,68,30,24%,WNW,6 mph,25.54 in,Fair
2017-01-16 16:00:00,64,37,37%,W,8 mph,25.54 in,Fair
2017-01-16 17:00:00,61,36,39%,WNW,5 mph,25.56 in,Fair
2017-01-16 18:00:00,57,36,44%,WNW,6 mph,25.56 in,Fair
2017-01-16 19:00:00,52,37,58%,SSW,7 mph,25.56 in,Fair
2017-01-16 20:00:00,50,39,66%,SE,3 mph,25.59 in,Fair
2017-01-16 21:00:00,48,37,66%,VAR,2 mph,25.59 in,Fair
